,label_0,freq_0,label_1,freq_1,label_2,freq_2,label_3,freq_3,label_4,freq_4,label_5,freq_5
139,"('Higgs mode and its decay in a two dimensional antiferromagnet', 'Spinor analysis')",3.0,"('Learning Distributed Representations of Texts and Entities from Knowledge Base', 'Neural IR Meets Graph Embedding: A Ranking Model for Product Search', 'KeyVec: Key-semantics Preserving Document Representations')",3,"('On a binary system of Prendiville: The cubic case', 'Twofold triple systems with cyclic 2-intersecting Gray codes')",2.0,"('Attention-Based Guided Structured Sparsity of Deep Neural Networks', 'Low-Precision Floating-Point Schemes for Neural Network Training', 'Flexible Deep Neural Network Processing', 'Binary Ensemble Neural Network: More Bits per Network or More Networks per Bit?')",3.0,"('Microfluidics for Chemical Synthesis: Flow Chemistry', 'The Development of Microfluidic Systems within the Harrison Research Team', 'Collective Dynamics of Self-propelled Semiflexible Filaments', 'Metachronal motion of artificial magnetic cilia', 'Theoretical aspects of microscale acoustofluidics')",3.0,"('Investor Reaction to Financial Disclosures Across Topics: An Application of Latent Dirichlet Allocation', 'Discovering Bayesian Market Views for Intelligent Asset Allocation')",2.0
140,"('The Two-fold Role of Observables in Classical and Quantum Kinematics', 'Quantum Speed Limit is Not Quantum', 'Axiomatic quantum mechanics: Necessity and benefits for the physics studies', 'Heads or tails in zero gravity: an example of a classical contextual ""measurement""', 'On the Status of the Measurement Problem: Recalling the Relativistic Transactional Interpretation', ""Bohm's approach to quantum mechanics: Alternative theory or practical picture?"")",3.0,"('An enhanced method to compute the similarity between concepts of ontology', 'Effective Reformulation of Query for Code Search using Crowdsourced Knowledge and Extra-Large Data Analytics', 'Learning best K analogies from data distribution for case-based software effort estimation', 'Detecting Near Duplicates in Software Documentation')",3,"('A Macdonald refined topological vertex', 'Some algebraic invariants of edge ideal of circulant graphs')",2.0,"('A powerful approach to the study of moderate effect modification in observational studies', 'Comparison of methods for early-readmission prediction in a high-dimensional heterogeneous covariates and time-to-event outcome framework', 'Treatment Effect Quantification for Time-to-event Endpoints -- Estimands, Analysis Strategies, and beyond', 'The stratified micro-randomized trial design: sample size considerations for testing nested causal effects of time-varying treatments')",3.0,"('Smoothed Noise and Mexican Hat Coupling Produce Pattern in a Stochastic Neural Field', 'Functional importance of noise in neuronal information processing', 'Drive and measurement electrode patterns for electrode impedance tomography (EIT) imaging of neural activity in peripheral nerve', 'Homeostatic plasticity and external input shape neural network dynamics')",3.0,"('Market Self-Learning of Signals, Impact and Optimal Trading: Invisible Hand Inference with Free Energy', 'Ranking Causal Influence of Financial Markets via Directed Information Graphs')",2.0
141,"('Superconducting properties of Cu intercalated Bi$_2$Se$_3$ studied by Muon Spin Spectroscopy', 'Yu-Shiba-Rusinov bands in superconductors in contact with a magnetic insulator', 'High-$T_\\textrm {C}$ superconductivity in Cs$_3$C$_{60}$ compounds governed by local Cs-C$_{60}$ Coulomb interactions', 'Multiband Superconductivity in the time reversal symmetry broken superconductor Re6Zr')",3.0,"('Smart Grids Data Analysis: A Systematic Mapping Study', 'Dynamic Security Analysis of Power Systems by a Sampling-Based Algorithm', 'Anomaly Detection Using Optimally-Placed Micro-PMU Sensors in Distribution Grids')",3,"('Lipschitz regularity of solutions to two-phase free boundary problems', 'Concentration of $1$-Lipschitz functions on manifolds with boundary with Dirichlet boundary condition')",2.0,"('Bayesian adaptive bandit-based designs using the Gittins index for multi-armed trials with normally distributed endpoints', 'Learning Robust Options', 'Semiparametric Contextual Bandits')",3.0,"('Solving constraint-satisfaction problems with distributed neocortical-like neuronal networks', 'Detecting Multiple Change Points Using Adaptive Regression Splines with Application to Neural Recordings', 'Parallelized Linear Classification with Volumetric Chemical Perceptrons')",3.0,"('The role of industry, occupation, and location specific knowledge in the survival of new firms', 'Internal migration and education: A cross-national comparison')",2.0
142,"('Inversion of Qubit Energy Levels in Qubit-Oscillator Circuits in the Deep-Strong-Coupling Regime', 'Global and local thermometry schemes in coupled quantum systems', 'High temperature thermodynamics of the honeycomb-lattice Kitaev-Heisenberg model: A high temperature series expansion study', 'Quantum Monte Carlo simulation of a two-dimensional Majorana lattice model')",3.0,"('Complete Cyclic Proof Systems for Inductive Entailments', 'Integrating a Global Induction Mechanism into a Sequent Calculus', 'Model enumeration in propositional circumscription via unsatisfiable core analysis', 'Small Resolution Proofs for QBF using Dependency Treewidth')",3,"(""Contiguous Relations, Laplace's Methods and Continued Fractions for 3F2(1)"", 'Supercongruences between truncated ${}_3F_2$ hypergeometric series')",2.0,"('Subset Labeled LDA for Large-Scale Multi-Label Classification', 'Robust and Efficient Boosting Method using the Conditional Risk', 'Enhanced version of AdaBoostM1 with J48 Tree learning method', 'Understanding Membership Inferences on Well-Generalized Learning Models', 'Semi-Supervised Approaches to Efficient Evaluation of Model Prediction Performance', 'Alternate Estimation of a Classifier and the Class-Prior from Positive and Unlabeled Data', 'Dropout-based Active Learning for Regression', 'On semi-supervised learning', 'Stability Enhanced Large-Margin Classifier Selection', 'Semi-supervised Learning for Discrete Choice Models', 'Enhancing Multi-Class Classification of Random Forest using Random Vector Functional Neural Network and Oblique Decision Surfaces', 'Optimizing Prediction Intervals by Tuning Random Forest via Meta-Validation', 'Finding Influential Training Samples for Gradient Boosted Decision Trees', 'Estimating the Operating Characteristics of Ensemble Methods')",3.0,"('Non-equilibrium time dynamics of genetic evolution', 'An overview of the marine food web in Icelandic waters using Ecopath with Ecosim', 'Universal and generalizable restoration strategies for degraded ecological networks')",3.0,"('Structural changes in the interbank market across the financial crisis from multiple core-periphery analysis', 'Dynamic Clearing and Contagion in Financial Networks', 'Characterization of catastrophic instabilities: Market crashes as paradigm', 'Capital Regulation under Price Impacts and Dynamic Financial Contagion', 'Accounting Noise and the Pricing of CoCos')",2.0
143,"('Global teleconnectivity structures of the El Niño-Southern Oscillation and large volcanic eruptions -- An evolving network perspective', 'Commissioning and Operation')",3.0,"('Performance of Energy Harvesting Receivers with Power Optimization', 'Cross-layer optimized routing with low duty cycle TDMA across multiple wireless body area networks')",3,"('Inverse system characterizations of the (hereditarily) just infinite property in profinite groups', 'Short Laws for Finite Groups and Residual Finiteness Growth')",2.0,"('Robust and Efficient Boosting Method using the Conditional Risk', 'Enhanced version of AdaBoostM1 with J48 Tree learning method', 'Semi-supervised Learning for Discrete Choice Models', 'Fair Kernel Learning', 'Finding Influential Training Samples for Gradient Boosted Decision Trees', 'Gradient Reversal Against Discrimination', 'Estimating the Operating Characteristics of Ensemble Methods')",3.0,"('An In Vitro Vascularized Tumor Platform for Modeling Breast Tumor Stromal Interactions and Characterizing the Subsequent Response', 'A Hybrid Multiscale Model for Cancer Invasion of the Extracellular Matrix', 'Nonautonomous Dynamics of Acute Cell Injury')",3.0,"('Generalizing Geometric Brownian Motion', 'Transition probability of Brownian motion in the octant and its application to default modeling', 'The sum of log-normal variates in geometric Brownian motion', 'Kinetic Theory for Finance Brownian Motion from Microscopic Dynamics', 'Markov cubature rules for polynomial processes', 'Target volatility option pricing in lognormal fractional SABR model', 'On the martingale property in the rough Bergomi model')",2.0
144,"('Fan-type spin structure in uni-axial chiral magnets', 'Quantum spin liquid signatures in Kitaev-like frustrated magnets', 'Collective spin excitations of helices and magnetic skyrmions: review and perspectives of magnonics in non-centrosymmetric magnets', 'Coupled spin-charge dynamics in helical Fermi liquids beyond the random phase approximation')",3.0,"('Security Trust Zone in 5G Networks', 'REMOTEGATE: Incentive-Compatible Remote Configuration of Security Gateways')",3,"('$L^p$ Norms of Eigenfunctions on Regular Graphs and on the Sphere', 'Eigenvalues of compactly perturbed operators via entropy numbers')",2.0,"('Learning to Draw Samples with Amortized Stein Variational Gradient Descent', 'Towards Arbitrary Noise Augmentation - Deep Learning for Sampling from Arbitrary Probability Distributions', 'Bayesian Deep Convolutional Encoder-Decoder Networks for Surrogate Modeling and Uncertainty Quantification')",3.0,"('Origin of soft glassy rheology in the cytoskeleton', 'Morphology and Motility of Cells on Soft Substrates', 'Fiber plucking by molecular motors yields large emergent contractility in stiff biopolymer networks', 'Elongation and shape changes in organisms with cell walls: a dialogue between experiments and models')",3.0,"('Asynchronous stochastic price pump', 'Optimal VWAP execution under transient price impact', 'Optimal Timing to Trade Along a Randomized Brownian Bridge')",2.0
145,"('Efficient methods for computing integrals in electronic structure calculations', 'Real single ion solvation free energies with quantum mechanical simulation', 'Performance of Range Separated Hybrids: Study within BECKE88 family and Semilocal Exchange Hole based Range Separated Hybrid')",3.0,"('Out-degree reducing partitions of digraphs', 'Minor-free graphs have light spanners')",3,"('The socle filtrations of principal series representations of $SL(3,\\mathbb{R})$ and $Sp(2,\\mathbb{R})$', 'Real representations of finite symplectic groups over fields of characteristic two')",2.0,"('Evolutionary Generative Adversarial Networks', 'Improving Bi-directional Generation between Different Modalities with Variational Autoencoders')",3.0,"('Dynamic constraints on activity and connectivity during the learning of value', 'The Moon Illusion explained by the Projective Consciousness Model', 'Complexity of human response delay in intermittent control: The case of virtual stick balancing', 'Psychophysical laws as reflection of mental space properties')",3.0,"('Dimensional Analysis in Economics: A Study of the Neoclassical Economic Growth Model', 'Growth, Industrial Externality, Prospect Dynamics and Well-being on Markets', 'The role of complex analysis in modeling economic growth')",2.0
146,"('Emittance preservation of an electron beam in a loaded quasi-linear plasma wakefield', 'Recent Operation of the FNAL Magnetron $H^{-}$ Ion Source', 'Case Studies on Plasma Wakefield Accelerator Design', 'To the Acceleration of Charged Particles with Travelling Laser Focus', 'Efficiency versus instability in plasma accelerators')",3.0,"('Live Service Migration in Mobile Edge Clouds', 'Robust Orchestration of Concurrent Application Workflows in Mobile Device Clouds')",3,"('Freeness and The Partial Transposes of Wishart Random Matrices', 'On the structure of Hausdorff moment sequences of complex matrices')",2.0,"('Learning to Address Health Inequality in the United States with a Bayesian Decision Network', 'Estimating Heterogeneous Causal Effects in the Presence of Irregular Assignment Mechanisms', 'Markov Models for Health Economic Evaluations: The R Package heemod')",3.0,"('Gene regulatory network inference: an introductory survey', 'Network analyses of 4D genome datasets automate detection of community-scale gene structure and plasticity', 'Fuzzy logic based approaches for gene regulatory network inference', 'Multilayer flows in molecular networks identify biological modules in the human proteome')",3.0,"('Trading Strategies Generated by Path-dependent Functionals of Market Weights', 'Token Economics in Energy Systems: Concept, Functionality and Applications', 'Market Self-Learning of Signals, Impact and Optimal Trading: Invisible Hand Inference with Free Energy')",2.0
147,"('Performance of a small size telescope (SST-1M) camera for gamma-ray astronomy with the Cherenkov Telescope Array', 'Airborne gamma-ray spectroscopy for modeling cosmic radiation and effective dose in the lower atmosphere', 'The Auger Engineering Radio Array and multi-hybrid cosmic ray detection (TAUP 2015)', 'Time-Resolved High Spectral Resolution Observation of 2MASSW J0746425+200032AB')",3.0,"('Complete Cyclic Proof Systems for Inductive Entailments', 'Model enumeration in propositional circumscription via unsatisfiable core analysis', 'Small Resolution Proofs for QBF using Dependency Treewidth')",3,"('A sub-super solution method for a class of nonlocal problems involving the p(x)-Laplacian operator and applications', 'Laplacian solitons: questions and homogeneous examples')",2.0,"('Adversarial Examples: Opportunities and Challenges', 'Spatially Transformed Adversarial Examples', 'Adversarial Attacks on Neural Networks for Graph Data', 'Gradient Masking Causes CLEVER to Overestimate Adversarial Perturbation Size', 'On the Robustness of the CVPR 2018 White-Box Adversarial Example Defenses', 'Ensemble Methods as a Defense to Adversarial Perturbations Against Deep Neural Networks', 'How Robust are Deep Neural Networks?', 'A Dynamic-Adversarial Mining Approach to the Security of Machine Learning', 'Adversarial classification: An adversarial risk analysis approach', 'Global Robustness Evaluation of Deep Neural Networks with Provable Guarantees for the $L_0$ Norm', 'Handling Adversarial Concept Drift in Streaming Data', 'Detecting Adversarial Examples via Key-based Network')",3.0,"('Mechanical Instability Leading Epithelial Cell Delamination', 'Origin of soft glassy rheology in the cytoskeleton', 'Morphology and Motility of Cells on Soft Substrates', 'Fiber plucking by molecular motors yields large emergent contractility in stiff biopolymer networks')",3.0,"('The role of industry, occupation, and location specific knowledge in the survival of new firms', 'Evaluating regulatory reform of network industries: a survey of empirical models based on categorical proxies')",2.0
148,"('Direct Evidence of Spontaneous Abrikosov Vortex State in Ferromagnetic Superconductor EuFe$_2$(As$_{1-x}$P$_x$)$_2$ with $x=0.21$', 'Single and Multiple Vortex Rings in Three-Dimensional Bose-Einstein Condensates: Existence, Stability and Dynamics', 'Muon Spin Rotation Analysis of the Internal Magnetic Field of Heavy Fermion System Uranium Beryllium-13', 'Core structure of two-dimensional Fermi gas vortices in the BEC-BCS crossover region')",3.0,"('Minor-free graphs have light spanners', 'L-Graphs and Monotone L-Graphs')",3,"('Extended TQFT arising from enriched multi-fusion categories', 'Double Homotopy (Co)Limits for Relative Categories')",2.0,"('Adversarial Examples: Opportunities and Challenges', 'Gradient Masking Causes CLEVER to Overestimate Adversarial Perturbation Size', 'On the Robustness of the CVPR 2018 White-Box Adversarial Example Defenses', 'Ensemble Methods as a Defense to Adversarial Perturbations Against Deep Neural Networks', 'How Robust are Deep Neural Networks?', 'Adversarial classification: An adversarial risk analysis approach', 'Handling Adversarial Concept Drift in Streaming Data', 'Detecting Adversarial Examples via Key-based Network')",3.0,"('Global stability of a network-based SIRS epidemic model with nonmonotone incidence rate', 'Who is the infector? Epidemic models with symptomatic and asymptomatic cases', 'On the scaling patterns of infectious disease incidence in cities', 'The Impact of Information Dissemination on Vaccinating Epidemics in Multiplex Networks', 'Vulnerability to pandemics in a rapidly urbanizing society', 'Spatial Models of Vector-Host Epidemics with Directed Movement of Vectors Over Long Distances')",3.0,"('General multilevel Monte Carlo methods for pricing discretely monitored Asian options', 'Infinitesimal perturbation analysis for risk measures based on the Smith max-stable random field', 'On approximations of Value at Risk and Expected Shortfall involving kurtosis')",2.0
149,"('Inversion of Qubit Energy Levels in Qubit-Oscillator Circuits in the Deep-Strong-Coupling Regime', 'Global and local thermometry schemes in coupled quantum systems', 'CMB anisotropies at all orders: the non-linear Sachs-Wolfe formula', 'High temperature thermodynamics of the honeycomb-lattice Kitaev-Heisenberg model: A high temperature series expansion study', 'Spatially distributed multipartite entanglement enables Einstein-Podolsky-Rosen steering of atomic clouds', 'Quantum Monte Carlo simulation of a two-dimensional Majorana lattice model')",3.0,"('Improvement in the UAV position estimation with low-cost GPS, INS and vision-based system: Application to a quadrotor UAV', 'Static Free Space Detection with Laser Scanner using Occupancy Grid Maps', 'A Belief Propagation Algorithm for Multipath-Based SLAM', 'Improving Foot-Mounted Inertial Navigation Through Real-Time Motion Classification', 'Plugo: a VLC Systematic Perspective of Large-scale Indoor Localization', 'SLAM-Assisted Coverage Path Planning for Indoor LiDAR Mapping Systems', 'Multipath Error Correction in Radio Interferometric Positioning Systems', 'Automatic Extrinsic Calibration for Lidar-Stereo Vehicle Sensor Setups', 'Vehicle Localization and Control on Roads with Prior Grade Map', 'Autonomous drone race: A computationally efficient vision-based navigation and control strategy', 'Asymptotic Blind-spot Analysis of Localization Networks under Correlated Blocking using a Poisson Line Process', 'Using Inertial Sensors for Position and Orientation Estimation', 'Probabilistic Surfel Fusion for Dense LiDAR Mapping', 'From LiDAR to Underground Maps via 5G - Business Models Enabling a System-of-Systems Approach to Mapping the Kankberg Mine', 'Fast Monte-Carlo Localization on Aerial Vehicles using Approximate Continuous Belief Representations', 'Cramér-Rao Lower Bounds for Positioning with Large Intelligent Surfaces', 'Submap-based Pose-graph Visual SLAM: A Robust Visual Exploration and Localization System')",3,"('Approximation of solutions of SDEs driven by a fractional Brownian motion, under pathwise uniqueness', 'Some Time-changed fractional Poisson processes')",2.0,"(""Calibrated Projection in MATLAB: Users' Manual"", 'Undersampled dynamic X-ray tomography with dimension reduction Kalman filter')",3.0,"('BOLD5000: A public fMRI dataset of 5000 images', 'Computational and informatics advances for reproducible data analysis in neuroimaging', 'Deep Learning for micro-Electrocorticographic (μECoG) Data', 'Interpretable LSTMs For Whole-Brain Neuroimaging Analyses', 'Large-scale validation of an automatic EEG arousal detection algorithm using different heterogeneous databases', 'The unreasonable effectiveness of small neural ensembles in high-dimensional brain', 'Machine learning of neuroimaging to diagnose cognitive impairment and dementia: a systematic review and comparative analysis', 'Simulating Brain Signals: Creating Synthetic EEG Data via Neural-Based Generative Models for Improved SSVEP Classification', 'Seemless Utilization of Heterogeneous XSede Resources to Accelerate Processing of a High Value Functional Neuroimaging Dataset', 'Optimizing deep video representation to match brain activity', 'Anticipating epileptic seizures through the analysis of EEG synchronization as a data classification problem', 'MEG-Derived Functional Tractography, Results for Normal and Concussed Cohorts')",3.0,"('Gaussian Approximation of a Risk Model with Stationary Hawkes Arrivals of Claims', 'Spatial risk measures induced by powers of max-stable random fields')",2.0
150,"('Viscous dynamics of drops and bubbles in Hele-Shaw cells: drainage, drag friction, coalescence, and bursting', 'Cross-stream migration of a surfactant-laden deformable droplet in a Poiseuille flow', 'Dynamical structure of entangled polymers simulated under shear flow')",3.0,"('On the Privacy of the Opal Data Release: A Response', 'Composing Differential Privacy and Secure Computation: A case study on scaling private record linkage')",3,"('The maximum of the 1-measurement of a metric measure space', 'An example related to the slicing inequality for general measures')",2.0,"('A Generalized Framework for the Estimation of Causal Moderation Effects with Randomized Treatments and Non-Randomized Moderators', 'An Intersectional Definition of Fairness', 'Causal Interventions for Fairness')",3.0,"('Social versus Moral preferences in the Ultimatum Game: A theoretical model and an experiment', 'Doing good vs. avoiding bad in prosocial choice: A refined test and extension of the morality preference hypothesis', 'Social Innovation and the Evolution of Creative, Sustainable Worldviews', 'Can justice be fair when it is blind? How social network structures can promote or prevent the evolution of despotism')",3.0,"('Expropriations, Property Confiscations and New Offshore Entities: Evidence from the Panama Papers', 'International crop trade networks: The impact of shocks and cascades', 'How production networks amplify economic growth')",2.0
151,"('All-optical switching and unidirectional plasmon launching with electron-hole plasma driven silicon nanoantennas', 'Spatially resolved, energy-filtered imaging of core level and valence band photoemission of highly p and n doped silicon patterns', 'UV Detector based on InAlN/GaN-on-Si HEMT Stack with Photo-to-Dark Current Ratio > 107')",3.0,"('Cyber Risk Analysis of Combined Data Attacks Against Power System State Estimation', 'Smart Grids Data Analysis: A Systematic Mapping Study', 'Dynamic Security Analysis of Power Systems by a Sampling-Based Algorithm', 'Anomaly Detection Using Optimally-Placed Micro-PMU Sensors in Distribution Grids', 'Heuristic Optimization for Automated Distribution System Planning in Network Integration Studies', 'Probabilistic Assessment of PV-Battery System Impacts on LV Distribution Networks', 'Optimal Scheduling of Multi-Energy Systems with Flexible Electrical and Thermal Loads')",3,"('Willis Theory via Graphs', 'The list chromatic number of graphs with small clique number', 'Cayley properties of the line graphs induced by of consecutive layers of the hypercube', 'Counting Dominating Sets of Graphs', 'Graph complexity and Mahler measure', 'An upper bound on the distinguishing index of graphs with minimum degree at least two', 'Hook removal operators on the odd Young graph', 'Cycle packings of the complete multigraph', 'Do triangle-free planar graphs have exponentially many 3-colorings?', 'On measures of edge-uncolorability of cubic graphs: A brief survey and some new results', 'A Complete Characterization of the 1-Dimensional Intrinsic Cech Persistence Diagrams for Metric Graphs', 'Some algebraic invariants of edge ideal of circulant graphs')",2.0,"('Geometric Insights into Support Vector Machine Behavior using the KKT Conditions', 'A Large Dimensional Study of Regularized Discriminant Analysis Classifiers')",3.0,"('Gamma-Band Correlations in Primary Visual Cortex', 'Is Information in the Brain Represented in Continuous or Discrete Form?')",3.0,"('Strong and Weak Equilibria for Time-Inconsistent Stochastic Control in Continuous Time', 'A Backward Simulation Method for Stochastic Optimal Control Problems')",2.0
152,"('Dynamics of a Camphoric Acid boat at the air-water interface', 'The Peridynamic Stress Tensors and the Non-local to Local Passage')",3.0,"('Optimal Envelope Approximation in Fourier Basis with Applications in TV White Space', 'Optimum Decoder for Multiplicative Spread Spectrum Image Watermarking with Laplacian Modeling', 'Accelerating Discrete Wavelet Transforms on GPUs')",3,"('Local methods for blocks of finite simple groups', 'Bounding the composition length of primitive permutation groups and completely reducible linear groups', 'The depth of a finite simple group', ""Cherlin's conjecture for almost simple groups of Lie rank 1"", 'Nilpotence order growth of recursion operators in characteristic p')",2.0,"('Dissipativity Theory for Accelerating Stochastic Variance Reduction: A Unified Analysis of SVRG and Katyusha Using Semidefinite Programs', 'Estimate exponential memory decay in Hidden Markov Model and its applications')",3.0,"('Deciphering noise amplification and reduction in open chemical reaction networks', 'Spatial heterogeneities shape collective behavior of signaling amoeboid cells')",3.0,"('Characterization of catastrophic instabilities: Market crashes as paradigm', 'Thought Viruses and Asset Prices', 'Accounting Noise and the Pricing of CoCos')",2.0
153,"('Probing valley filtering effect by Andreev reflection in zigzag graphene nanoribbon', 'Ultra-high strain in epitaxial silicon carbide nanostructures utilizing residual stress amplification', 'Network of vertically c-oriented prism shaped InN nanowalls grown on c-GaN/sapphire template by chemical vapor deposition technique', 'Predictive Simulations for Tuning Electronic and Optical Properties of SubPc Derivatives', 'Strong and broadly tunable plasmon resonances in thick films of aligned carbon nanotubes', 'Dynamic control of the optical emission from GaN/InGaN nanowire quantum dots by surface acoustic waves')",3.0,"('Performance Analysis of Ultra-Dense Networks with Elevated Base Stations', 'Outage analysis in two-way communication with RF energy harvesting relay and co-channel interference', 'Performance Scaling Law for Multi-Cell Multi-User Massive MIMO', 'Achieving Spectrum Efficient Communication Under Cross-Technology Interference')",3,"('Inverse system characterizations of the (hereditarily) just infinite property in profinite groups', 'Autocommuting probability of a finite group relative to its subgroups', 'Short Laws for Finite Groups and Residual Finiteness Growth', 'Semi-extraspecial groups with an abelian subgroup of maximal possible order')",2.0,"('Asynchronous Distributed Variational Gaussian Processes for Regression', 'Bayesian Lasso Posterior Sampling via Parallelized Measure Transport', 'Sparse and Smooth Prior for Bayesian Linear Regression with Application to ETEX Data')",3.0,"('Online classification of imagined speech using functional near-infrared spectroscopy signals', 'A Deep Learning Approach with an Attention Mechanism for Automatic Sleep Stage Classification', 'What deep learning can tell us about higher cognitive functions like mindreading?')",3.0,"('Mean-variance portfolio selection under partial information with drift uncertainty', 'Estimation of Covariance Matrices for Portfolio Optimization using Gaussian Processes', 'Dynamics of observables in rank-based models and performance of functionally generated portfolios', 'Bayesian mean-variance analysis: Optimal portfolio selection under parameter uncertainty', 'Reducing Estimation Risk in Mean-Variance Portfolios with Machine Learning', 'Portfolio diversification and model uncertainty: a robust dynamic mean-variance approach', 'Portfolio Optimization for Cointelated Pairs: SDEs vs. Machine Learning', 'Portfolio Optimization with Nondominated Priors and Unbounded Parameters')",2.0
154,"('SPH calculations of Mars-scale collisions: the role of the Equation of State, material rheologies, and numerical effects', 'Characterizing the ionospheric current pattern response to southward and northward IMF turnings with dynamical SuperMAG correlation networks', 'Separatrix crossing in rotation of a body with changing geometry of masses', 'Runout transition and clustering instability observed in binary-mixture avalanche deposits')",3.0,"('Fault Tolerant Consensus Agreement Algorithm', 'Implications of Decentralized Q-learning Resource Allocation in Wireless Networks')",3,"('Gradient Method With Inexact Oracle for Composite Non-Convex Optimization', 'Convergence rate bounds for a proximal ADMM with over-relaxation stepsize parameter for solving nonconvex linearly constrained problems', 'On the Sublinear Regret of Distributed Primal-Dual Algorithms for Online Constrained Optimization')",2.0,"('Training deep learning based denoisers without ground truth data', 'Synthesizing Programs for Images using Reinforced Adversarial Learning', 'Improving Bi-directional Generation between Different Modalities with Variational Autoencoders')",3.0,"('Competing evolutionary paths in growing populations with applications to multidrug resistance', 'When few survive to tell the tale: thymus and gonad as auditioning organs: historical overview', 'A unified, mechanistic framework for developmental and evolutionary change', 'Analysis of bacterial population growth using extended logistic growth model with distributed delay')",3.0,"('Conditional Optimal Stopping: A Time-Inconsistent Optimization', 'The equivalence of two tax processes')",2.0
155,"('Superconducting properties of Cu intercalated Bi$_2$Se$_3$ studied by Muon Spin Spectroscopy', 'Superconductivity and Frozen Electronic States at the (111) LaAlO$_3$/SrTiO$_3$ Interface', 'High-$T_\\textrm {C}$ superconductivity in Cs$_3$C$_{60}$ compounds governed by local Cs-C$_{60}$ Coulomb interactions', 'Superconductivity at 7.3 K in the 133-type Cr-based RbCr3As3 single crystals')",3.0,"('Economically Efficient Combined Plant and Controller Design Using Batch Bayesian Optimization: Mathematical Framework and Airborne Wind Energy Case Study', ""A simple introduction to Karmarkar's Algorithm for Linear Programming"")",3,"('An automata group of intermediate growth and exponential activity', ""La notion d'involution dans le Brouillon Project de Girard Desargues"", 'Closure operators, frames, and neatest representations', 'Variations on a Visserian Theme')",2.0,"('Advanced Bayesian Multilevel Modeling with the R Package brms', 'Multiplicative local linear hazard estimation and best one-sided cross-validation')",3.0,"('Solving constraint-satisfaction problems with distributed neocortical-like neuronal networks', 'Detecting Multiple Change Points Using Adaptive Regression Splines with Application to Neural Recordings')",3.0,"('Stochastic comparisons of the largest claim amounts from two sets of interdependent heterogeneous portfolios', 'Complex Valued Risk Diversification')",2.0
156,"('IP determination and 1+1 REMPI spectrum of SiO at 210-220 nm with implications for SiO$^{+}$ ion trap loading', 'Photoelectron Yields of Scintillation Counters with Embedded Wavelength-Shifting Fibers Read Out With Silicon Photomultipliers', 'Photodetector figures of merit in terms of POVMs', 'Highly sensitive atomic based MW interferometry')",3.0,"('Tree Structured Synthesis of Gaussian Trees', 'A SAT+CAS Approach to Finding Good Matrices: New Examples and Counterexamples')",3,"('Metastable Markov chains: from the convergence of the trace to the convergence of the finite-dimensional distributions', 'Lyapunov exponents for products of matrices')",2.0,"(""Ensemble learning with Conformal Predictors: Targeting credible predictions of conversion from Mild Cognitive Impairment to Alzheimer's Disease"", 'Extracting Epistatic Interactions in Type 2 Diabetes Genome-Wide Data Using Stacked Autoencoder', 'Drug Selection via Joint Push and Learning to Rank')",3.0,"('A Biologically Plausible Supervised Learning Method for Spiking Neural Networks Using the Symmetric STDP Rule', 'Finite size effects for spiking neural networks with spatially dependent coupling', 'Nerve impulse propagation and wavelet theory')",3.0,"('The Broad Consequences of Narrow Banking', 'Asymmetric Connectedness of Fears in the U.S. Financial Sector')",2.0
157,"('Adverse effects of polymer coating on heat transport at solid-liquid interface', 'Molecular Simulation of Caloric Properties of Fluids Modelled by Force Fields with Intramolecular Contributions: Application to Heat Capacities')",3.0,"('Boosting the Actor with Dual Critic', 'Parameter Sharing Deep Deterministic Policy Gradient for Cooperative Multi-agent Reinforcement Learning', 'Towards a Deep Reinforcement Learning Approach for Tower Line Wars')",3,"('BiHom-Lie colour algebras structures', 'Change of grading, injective dimension and dualizing complexes', 'A note on the bijectivity of antipode of a Hopf algebra and its applications', 'On the presentation of Hecke-Hopf algebras for non-simply-laced type')",2.0,"('Domain Generalization by Marginal Transfer Learning', 'Towards more Reliable Transfer Learning', 'AFT*: Integrating Active Learning and Transfer Learning to Reduce Annotation Efforts', 'Deep Bayesian Active Learning for Natural Language Processing: Results of a Large-Scale Empirical Study', 'Heterogeneous Transfer Learning: An Unsupervised Approach')",3.0,"('Harnessing functional segregation across brain rhythms as a means to detect EEG oscillatory multiplexing during music listening', 'What does the free energy principle tell us about the brain?')",3.0,"('Practical volume computation of structured convex bodies, and an application to modeling portfolio dependencies and financial crises', 'Fast mean-reversion asymptotics for large portfolios of stochastic volatility models')",2.0
